groesse_m2,zimmer,baujahr,preis_euro
65,2,1990,180000
80,3,2005,240000
120,4,2010,380000
45,1,1975,130000
95,3,2015,310000
150,5,2008,520000
70,2,2000,210000
55,2,1985,155000
110,4,2012,360000
90,3,2018,295000
130,4,2003,430000
40,1,1970,115000
75,3,1995,215000
100,4,2020,340000
85,3,2007,260000
60,2,1988,165000
140,5,2011,480000
50,2,1980,140000
115,4,2016,375000
78,3,2002,228000
72,1,1994,233508
70,3,2003,231949
91,3,2008,252603
138,4,2011,449913
39,2,1990,162718
60,2,2002,237644
116,4,2025,378298
127,4,1996,407960
130,5,1999,405373
38,1,1969,159717
62,1,1983,186026
126,3,2002,376769
81,2,2009,233103
49,1,1969,141306
154,5,1999,500073
73,3,1999,223895
68,2,1992,191580
32,1,1975,107897
47,1,1982,114908
140,5,2025,477058
89,3,2020,301076
55,2,1982,190335
95,3,1994,261631
84,3,2009,271591
112,3,2011,338097
37,1,1968,114123
82,3,1998,212822
123,4,2009,358061
98,3,2021,294193
118,4,2017,368986
87,2,1999,226486
107,4,2006,336125
66,2,1990,210551
43,2,1977,131285
50,1,1975,124102
109,3,2025,358050
49,1,1981,149686
103,3,2018,384073
73,3,2002,237219
83,2,1995,215473
91,3,2001,255971
74,3,1996,214365
35,1,1983,118178
57,2,1980,135481
86,2,2012,261629
122,4,2005,384108
107,3,2025,385315
142,5,2013,513783
50,2,1974,114642
51,1,1980,134827
57,2,1981,128658
50,1,1978,119367
68,3,2002,245681
147,4,2001,541705
86,3,2010,281876
40,1,1976,118225
48,2,1989,101349
52,1,1971,112072
73,4,2004,220877
98,3,2020,285470
